Location,Area,Beds,Price
"MPCHS - Block F, MPCHS - Multi Gardens",5 Marla,6,2.2 Crore
"DHA Defence Phase 2, DHA Defence",1 Kanal,5,13.9 Crore
"DHA Defence Phase 2, DHA Defence",1 Kanal,5,13.75 Crore
"DHA Phase 2 - Sector B, DHA Defence Phase 2",1 Kanal,5,13.9 Crore
"DHA Defence Phase 2, DHA Defence",1 Kanal,6,11.9 Crore
"G-13, Islamabad",1 Kanal,8,16.7 Crore
"Green Avenue, Islamabad",5 Marla,5,2.6 Crore
"Park View City, Islamabad",5 Marla,5,2.6 Crore
"Bahria Enclave, Bahria Town",10 Marla,7,5.8 Crore
"Bani Gala, Islamabad",4 Kanal,10,16.5 Crore
"DHA Defence Phase 2, DHA Defence",1 Kanal,5,12.7 Crore
"D-12/1, D-12",10 Marla,4,9 Crore
"DHA Valley, DHA Defence",8 Marla,3,1.4 Crore
"G-13, Islamabad",14.2 Marla,8,11.5 Crore
"D-12, Islamabad",10.9 Marla,6,12 Crore
"G-14/4, G-14",5.6 Marla,5,5 Crore
"Park View City, Islamabad",5 Marla,4,2.65 Crore
"Gulberg Greens, Gulberg",7.8 Marla,3,2 Crore
"Gulberg, Islamabad",10 Marla,5,5 Crore
"DHA Defence Phase 2, DHA Defence",10 Marla,4,6.5 Crore
"Warda Hamna Residencia 3, G-11/3",8.9 Marla,3,4.5 Crore
"I-9, Islamabad",10 Marla,5,5.7 Crore
"G-13, Islamabad",10.9 Marla,7,8.25 Crore
"F-11/1, F-11",11.8 Marla,3,7.5 Crore
"G-13, Islamabad",10.9 Marla,7,8.25 Crore
